archivo,id_interaccion,agente,duracion_seg,duracion_min,rango_duracion,fecha,es_dia_promo,motivo_principal,motivos_detectados,tiene_saludo,tiene_identificacion,tiene_cierre_correcto,despedida_abrupta,score_calidad,planes_ofrecidos,cantidad_planes,primer_plan,ofrece_fibra,ofrece_equipo,menciona_promo,objeciones,cantidad_objeciones,manejo_objeciones,competencia,sentimiento,tiene_queja,queja_resuelta,resultado,es_venta,es_continuacion,es_rechazo,hay_transferencia,hay_escalacion,es_retencion,cross_sell,turnos_agente,turnos_cliente,total_turnos
amza9_1_260114120733593_ACD_98367_transcripcion.json,260114120733593_ACD_98367,MZA 9,212,3.5,3-5 min,14/01,True,no_identificado,,True,False,False,False,50,,0,,False,False,True,,0,"rebate_precio, empatia","claro, otra_empresa",positivo,False,False,sin_cierre_claro,False,False,False,False,False,False,,10,12,22
amza9_1_260114121213346_ACD_08741_transcripcion.json,260114121213346_ACD_08741,MZA 9,185,3.1,3-5 min,14/01,True,no_identificado,,True,False,False,False,50,"4gb, 8gb",2,4gb,False,False,True,,0,empatia,claro,positivo,False,False,continuacion,False,True,False,False,False,False,,13,12,25
amza9_1_260114121607190_ACD_17193_transcripcion.json,260114121607190_ACD_17193,MZA 9,196,3.3,3-5 min,14/01,True,no_identificado,,True,False,False,False,50,,0,,False,False,True,consultar,1,,"claro, otra_empresa",positivo,False,False,sin_cierre_claro,False,False,False,False,False,False,,10,19,29
amza9_1_260114124320609_ACD_47439_transcripcion.json,260114124320609_ACD_47439,MZA 9,385,6.4,5-8 min,14/01,True,no_identificado,,False,False,False,False,25,,0,,True,False,True,sin_interes,1,,"claro, personal, otra_empresa",mixto,True,False,rechazo,False,False,True,False,False,False,,18,22,40
amza9_1_260114125307736_ACD_62749_transcripcion.json,260114125307736_ACD_62749,MZA 9,596,9.9,> 8 min,14/01,True,no_identificado,,True,False,False,False,50,4gb,1,4gb,True,True,True,,0,,"claro, personal, otra_empresa",mixto,False,False,continuacion,False,True,False,False,False,False,,26,43,69
amza9_1_260114130708524_ACD_06057_transcripcion.json,260114130708524_ACD_06057,MZA 9,130,2.2,1-3 min,14/01,True,no_identificado,,True,False,True,False,75,,0,,True,False,True,,0,,claro,positivo,False,False,sin_cierre_claro,False,False,False,False,False,False,,10,7,17
amza9_1_260114131055178_ACD_18743_transcripcion.json,260114131055178_ACD_18743,MZA 9,95,1.6,1-3 min,14/01,True,no_identificado,,True,False,False,False,50,,0,,False,False,True,,0,,,positivo,False,False,rechazo,False,False,True,False,False,False,,5,8,13
amza9_1_260114133714646_ACD_95557_transcripcion.json,260114133714646_ACD_95557,MZA 9,96,1.6,1-3 min,14/01,True,no_identificado,,True,False,False,False,50,,0,,False,False,True,,0,empatia,"claro, otra_empresa",positivo,False,False,sin_cierre_claro,False,False,False,False,False,False,,10,7,17
amza9_1_260114133952451_ACD_02941_transcripcion.json,260114133952451_ACD_02941,MZA 9,87,1.4,1-3 min,14/01,True,no_identificado,,True,False,False,False,50,,0,,False,False,True,,0,,claro,positivo,False,False,sin_cierre_claro,False,False,False,False,False,False,,12,7,19
amza9_1_260114140218238_MIT_01973_transcripcion.json,260114140218238_MIT_01973,MZA 9,556,9.3,> 8 min,14/01,True,cambio_plan,cambio_plan,False,False,False,False,25,"4gb, 8gb",2,4gb,False,False,True,,0,,"claro, otra_empresa",positivo,False,False,sin_cierre_claro,False,False,False,False,False,False,linea_adicional,14,23,37
