archivo,agente,fecha,duracion_seg,primer_plan
amza9_1_260114103839527_ACD_47377_transcripcion.json,MZA 9,14/01,127,
amza9_1_260114104438074_ACD_65737_transcripcion.json,MZA 9,14/01,173,8gb
amza9_1_260114104852996_ACD_77369_transcripcion.json,MZA 9,14/01,262,
amza9_1_260114105831163_ACD_05495_transcripcion.json,MZA 9,14/01,194,
amza9_1_260114111019016_ACD_38295_transcripcion.json,MZA 9,14/01,115,4gb
amza9_1_260114113820317_ACD_24107_transcripcion.json,MZA 9,14/01,411,4gb
amza9_1_260114115456756_ACD_69179_transcripcion.json,MZA 9,14/01,100,
amza9_1_260114115931576_ACD_81031_transcripcion.json,MZA 9,14/01,82,
amza9_1_260114120733593_ACD_98367_transcripcion.json,MZA 9,14/01,212,
amza9_1_260114121213346_ACD_08741_transcripcion.json,MZA 9,14/01,185,8gb
amza9_1_260114121607190_ACD_17193_transcripcion.json,MZA 9,14/01,196,
amza9_1_260114131055178_ACD_18743_transcripcion.json,MZA 9,14/01,95,
amza9_1_260114133714646_ACD_95557_transcripcion.json,MZA 9,14/01,96,
amza9_1_260114133952451_ACD_02941_transcripcion.json,MZA 9,14/01,87,
amza9_1_260114140218238_MIT_01973_transcripcion.json,MZA 9,14/01,556,4gb
amza9_1_260114141348914_ACD_02957_transcripcion.json,MZA 9,14/01,325,4gb
amza9_1_260114143016630_ACD_53557_transcripcion.json,MZA 9,14/01,84,
amza9_1_260114145009198_ACD_10739_transcripcion.json,MZA 9,14/01,80,
amza9_1_260115111608288_ACD_51023_transcripcion.json,MZA 9,15/01,100,
amza9_1_260115112016118_ACD_64753_transcripcion.json,MZA 9,15/01,83,
amza9_1_260115112459081_MIT_01943_transcripcion.json,MZA 9,15/01,71,
amza9_1_260115114403392_ACD_48933_transcripcion.json,MZA 9,15/01,112,
amza9_1_260115115909646_ACD_97561_transcripcion.json,MZA 9,15/01,141,
amza9_1_260115120734770_ACD_20593_transcripcion.json,MZA 9,15/01,89,
amza9_1_260115124314999_ACD_77933_transcripcion.json,MZA 9,15/01,66,8gb
amza9_1_260115124813342_ACD_86211_transcripcion.json,MZA 9,15/01,71,
amza9_1_260115125421598_ACD_02601_transcripcion.json,MZA 9,15/01,108,
amza9_1_260115130530093_ACD_39187_transcripcion.json,MZA 9,15/01,88,
amza9_1_260115132932037_ACD_09937_transcripcion.json,MZA 9,15/01,81,
amza9_1_260115134243586_ACD_52413_transcripcion.json,MZA 9,15/01,101,
amza9_1_260115140624237_ACD_34133_transcripcion.json,MZA 9,15/01,236,4gb
amza9_1_260115141631401_ACD_73221_transcripcion.json,MZA 9,15/01,174,8gb
amza9_1_260115144937592_ACD_80991_transcripcion.json,MZA 9,15/01,149,
amza9_1_260115145622983_ACD_02511_transcripcion.json,MZA 9,15/01,96,8gb
amza9_1_260116102859610_ACD_92589_transcripcion.json,MZA 9,16/01,377,
amza9_1_260116103752238_ACD_29725_transcripcion.json,MZA 9,16/01,79,
amza9_1_260116104618121_ACD_64051_transcripcion.json,MZA 9,16/01,81,
amza9_1_260116104843537_ACD_72473_transcripcion.json,MZA 9,16/01,96,8gb
amza9_1_260116112500969_ACD_04915_transcripcion.json,MZA 9,16/01,102,
amza9_1_260116113152417_MIT_01952_transcripcion.json,MZA 9,16/01,226,
amza9_1_260116121320552_ACD_45475_transcripcion.json,MZA 9,16/01,259,
amza9_1_260116125309044_ACD_17871_transcripcion.json,MZA 9,16/01,681,8gb
amza9_1_260116132003920_ACD_11541_transcripcion.json,MZA 9,16/01,284,15gb
amza9_1_260116133255429_ACD_50941_transcripcion.json,MZA 9,16/01,69,
amza9_1_260116140159468_ACD_57695_transcripcion.json,MZA 9,16/01,221,
amza9_1_260116141158108_ACD_95357_transcripcion.json,MZA 9,16/01,83,
amza9_1_260116142237829_ACD_32083_transcripcion.json,MZA 9,16/01,231,
amza9_1_260116143454420_ACD_71039_transcripcion.json,MZA 9,16/01,63,
amza9_1_260116143826300_ACD_83113_transcripcion.json,MZA 9,16/01,111,
amza9_1_260116144228004_ACD_96589_transcripcion.json,MZA 9,16/01,127,
amza_sup2_1_260112104105492_MIT_01979_transcripcion.json,desconocido,desconocida,0,
amza_sup2_1_260112104715039_MIT_01993_transcripcion.json,desconocido,desconocida,0,
