archivo,agente,fecha,descuento_dia,duracion_seg,primer_plan
amza1_1_260114114954624_ACD_57757_transcripcion.json,MZA 1,14/01,80%,99,
amza1_1_260114124208485_ACD_45857_transcripcion.json,MZA 1,14/01,80%,84,
amza1_1_260114125332851_ACD_63763_transcripcion.json,MZA 1,14/01,80%,62,
amza1_1_260114133744766_ACD_97065_transcripcion.json,MZA 1,14/01,80%,776,8gb
amza1_1_260114144333915_ACD_88671_transcripcion.json,MZA 1,14/01,80%,114,
amza1_1_260115131211238_MIT_01956_transcripcion.json,MZA 1,15/01,80%,292,
amza1_1_260115134850509_ACD_72581_transcripcion.json,MZA 1,15/01,80%,62,
amza1_1_260115135022935_ACD_77073_transcripcion.json,MZA 1,15/01,80%,131,
amza1_1_260116103249080_ACD_08863_transcripcion.json,MZA 1,16/01,80%,112,
amza1_1_260116111105134_ACD_52343_transcripcion.json,MZA 1,16/01,80%,61,
amza1_1_260116125543500_ACD_28331_transcripcion.json,MZA 1,16/01,80%,174,8gb
amza1_1_260116130338731_ACD_58175_transcripcion.json,MZA 1,16/01,80%,152,
amza1_1_260116133703439_ACD_63817_transcripcion.json,MZA 1,16/01,80%,140,8gb
amza1_1_260116140436429_MIT_01961_transcripcion.json,MZA 1,16/01,80%,62,
amza1_1_260116140722540_ACD_77569_transcripcion.json,MZA 1,16/01,80%,60,
amza1_1_260116142359117_ACD_36445_transcripcion.json,MZA 1,16/01,80%,147,
amza1_1_260116145723396_ACD_47999_transcripcion.json,MZA 1,16/01,80%,69,
amza20_1_260113104111430_ACD_67763_transcripcion.json,MZA 20,13/01,80%,67,
amza20_1_260113114947848_ACD_84725_transcripcion.json,MZA 20,13/01,80%,91,
amza20_1_260113115201221_ACD_90411_transcripcion.json,MZA 20,13/01,80%,77,
amza20_1_260113124535880_ACD_98043_transcripcion.json,MZA 20,13/01,80%,384,
amza20_1_260113131534146_ACD_85647_transcripcion.json,MZA 20,13/01,80%,66,
amza20_1_260113135143300_ACD_02485_transcripcion.json,MZA 20,13/01,80%,110,4gb
amza20_1_260113141537369_ACD_94709_transcripcion.json,MZA 20,13/01,80%,90,
