archivo,id_interaccion,agente,fecha,duracion_seg,primer_plan,planes_ofrecidos,cantidad_planes,ofrece_fibra
amza10_1_260312130954949_ACD_33999_mejorado.json,amza10_1_260312130954949_ACD_33999_mejorado.json,amza10,12/03,180.7,4gb,4gb,1,False
amza10_1_260312132104237_ACD_62133_mejorado.json,amza10_1_260312132104237_ACD_62133_mejorado.json,amza10,12/03,114.5,15gb,15gb,1,True
amza10_1_260312132425317_ACD_70393_mejorado.json,amza10_1_260312132425317_ACD_70393_mejorado.json,amza10,12/03,104.44,,,0,False
amza10_1_260312134601157_ACD_28419_mejorado.json,amza10_1_260312134601157_ACD_28419_mejorado.json,amza10,12/03,128.25,15gb,15gb,1,False
amza10_1_260312134903649_ACD_36193_mejorado.json,amza10_1_260312134903649_ACD_36193_mejorado.json,amza10,12/03,117.37,,,0,False
amza10_1_260312135315410_ACD_48289_mejorado.json,amza10_1_260312135315410_ACD_48289_mejorado.json,amza10,12/03,89.81,,,0,False
amza10_1_260312141254523_ACD_05483_mejorado.json,amza10_1_260312141254523_ACD_05483_mejorado.json,amza10,12/03,72.6,,,0,False
amza10_1_260312141700901_ACD_18201_mejorado.json,amza10_1_260312141700901_ACD_18201_mejorado.json,amza10,12/03,154.68,,,0,False
amza10_1_260312142123185_ACD_29213_mejorado.json,amza10_1_260312142123185_ACD_29213_mejorado.json,amza10,12/03,90.0,,,0,False
amza10_1_260312143038356_ACD_52991_mejorado.json,amza10_1_260312143038356_ACD_52991_mejorado.json,amza10,12/03,1133.78,15gb,15gb,1,False
amza10_1_260312144917797_ACD_01181_mejorado.json,amza10_1_260312144917797_ACD_01181_mejorado.json,amza10,12/03,75.63,,,0,False
amza10_1_260312145410449_ACD_12157_mejorado.json,amza10_1_260312145410449_ACD_12157_mejorado.json,amza10,12/03,129.9,,,0,True
amza10_1_260313101625611_ACD_05877_mejorado.json,amza10_1_260313101625611_ACD_05877_mejorado.json,amza10,13/03,125.23,,,0,False
amza10_1_260313112231899_ACD_86497_mejorado.json,amza10_1_260313112231899_ACD_86497_mejorado.json,amza10,13/03,217.89,,,0,False
amza10_1_260313112659156_ACD_98405_mejorado.json,amza10_1_260313112659156_ACD_98405_mejorado.json,amza10,13/03,73.42,,,0,False
amza10_1_260313113728412_ACD_32067_mejorado.json,amza10_1_260313113728412_ACD_32067_mejorado.json,amza10,13/03,68.75,,,0,False
amza10_1_260313114426999_ACD_52027_mejorado.json,amza10_1_260313114426999_ACD_52027_mejorado.json,amza10,13/03,928.87,4gb,4gb,1,False
amza10_1_260313134404829_ACD_16265_mejorado.json,amza10_1_260313134404829_ACD_16265_mejorado.json,amza10,13/03,95.78,,,0,False
amza10_1_260313134953990_ACD_35839_mejorado.json,amza10_1_260313134953990_ACD_35839_mejorado.json,amza10,13/03,122.01,,,0,False
amza10_1_260313141253627_MIT_01960_mejorado.json,amza10_1_260313141253627_MIT_01960_mejorado.json,amza10,13/03,379.42,,,0,False
amza10_1_260313142531711_ACD_35793_mejorado.json,amza10_1_260313142531711_ACD_35793_mejorado.json,amza10,13/03,71.64,,,0,False
amza10_1_260313143734331_MIT_01975_mejorado.json,amza10_1_260313143734331_MIT_01975_mejorado.json,amza10,13/03,166.0,,,0,False
amza10_1_260313144309521_ACD_76641_mejorado.json,amza10_1_260313144309521_ACD_76641_mejorado.json,amza10,13/03,176.5,,,0,True
